singkat,hasil
segede,sebesar
seger,segar
sekaliiii,sekali
selamaad,selamat
selepet,pukul
selo,santai
selogan,slogan
semangaaatttzzzsss,semangat
semangatin,semangat
semangatt,semangat
semangattt,semangat
sempet,sempat
semriwing,adem
senak,seenaknya
sendri,sendiri
seneng,senang
senengnya,senang
sensara,sengsara
sensei,guru
sepe,sepi
sepnjang,sepanjang
serem,seram
seribuh,seribu
seriuscumatulisan,serius cuma tulisan
serumah,satu rumah
sesering,sering
sesimple,se mudah
setakut,menakutkan
setau,sepengetahuan
setujuuuu,setuju
sexual harassment,kejahatan seksual
sexualharassment,kejahatan seksual
sgl,segala
sgt,sangat
siaaaan,kasihan
sianjiirrr,si anjir
sii,si
siiihh,sih
sik,sih
sinii,sini
sj,saja
skaligus,sekaligus
skarang,sekarang
skg,sekarang
skli,sekali
skr,sekarang
skrg,sekarang
skrng,sekarang
skt,sakit
slalu,selalu
slama,selama
slmat,selamat
sm,sama
sman,sekolah menengah atas negeri 
smbl,sambil
smg,semoga
smh,ya ampun
smkin,semakin
smoga,semoga
smp,sampai
smpe,sampai
smsm,sama sama
smua,semua
sn,sana
sna,sana
sndirian,sendirian
sndri,sendiri
sndrian,sendiri
sngt,sangat
soale,soalnya
soalx,soalnya
sobat,teman
sodara,saudara
sok2,pamer
solusinya,solusi nya
sontoloyo,bodoh
sopir,supir
sorang,sendiri
sorga,surga
speciall,spesial
spt,seperti
spy,supaya
ssuai,sesuai
standaar,standar
stelah,setelah
stiap,setiap
stlh,setelah
strong,kuat
suamine,suami nya
suaminy,suami nya
suddenly,tiba tiba
sukaaa,suka
sukseskanasiangames,sukses kan asian games
sukung,dukung
sumpahya,sumpah ya
sumpeh,sumpah
supeerrr,super
surabayamacet,surabaya macet
surgaaaaa,surga
sy,saya
syanggih,canggih
syantik,cantik
syap,siap
syetan,setan
syg,sayang
syng,sayang
system,sistem
syudih,sudi
syukut,syukur
syurga,surga
tadii,tadi
tae,tai
tagarmu,tagar kamu
taik,tai
taipan,konglomerat
tak,tidak
takkan,tidak akan
takkusangka,tak aku sangka
takutnya,takut nya
tanabang,tanah abang
tangkep,tangkap
tanoshimidesuuu,senang banget
taon,tahun
tapigakdalamdalambanget,tapi gak dalam dalam banget
tapiii,tapi
tar,nanti
tasdi,tadi
tau,tahu
taubat,tobat
taukan,tahu kan 
taun,tahun
tbtb,tiba
td,tadi
tdak,tidak
tdj,tidak
tdk,tidak
tdr,tidur
teejun,terjun
telp,telepon
temanbukanpacarbukan,teman bukan pacar bukan
temen,teman
temenan,temanan
temenin,temani
temenku,teman saya
temennya,teman nya
tengok,lihat
terbege,terbodoh
terbengong,terheran
tereak,teriak
terhadp,terhadap
terharuu,terharu
terimah,terima
terkaga,tidak banget
termsk,termasuk
teroos,terus
terooss,terus
teros,terus
tertunya,tentu nya
terussd,terus
tetang,tentang
tetep,tetap
tgg,tanggung
tgh,tengah
tgjawab,tanggung jawab
tgl,tanggal
th,tahun
thdp,terhadap
thn,tahun
tho,toh
thx,terima kasih
tida,tidak
tidakkkk,tidak
tidor,tidur
tims,tim
tkt,takut
tkut,takut
tlong,tolong
tlp,telpon
tmbah,tambah
tmbh,tambah
tmn,teman
tmp,tempat
tn,tanah
tntng,tentang
toll,tol
tolloll,tolol
tololnya,tolol nya
topoc,topik
tp,tapi
tpi,tapi
trbaik,terbaik
trbatas,terbatas
trima,terima
trimakasih,terima kasih
trm,terima
trmasuk,termasuk
trnyata,ternyata
trs,terus
trus,terus
tsb,tersebut
tt,payudara
ttep,tetap
ttg,tentang
ttp,tetap
tuhaaannnn,tuhan
tuhh,tuh
tuk,untuk
tukeran,tukaran
tulisandarilubukhati,tulisan dari lubuk hati
tuntassss,tuntas
tweetnya,tweet nya
twitt malam,tweet malam
twittrindu,tweet rindu
twt,tweet
tyda,tidak
tydack,tidak
tydak,tidak
type,tipe
tytyd,titit
uda,sudah
udah,sudah
udahan,sudah
udahh,sudah
udeh,sudah
udh,sudah
uga,juga
uih,weh
ujia,ujian
ujug2,ujung ujung
umpetin,sembunyi
unt,untuk
untukmu,untuk mu
untukumu,untuk mu
untungnyaaa,untung nya
ush,usah
usilin,usil
utang,hutang
utk,untuk
uwahhhhh,weh
w,aku
waaaaa,wah
waaaah,wah
waaaaw,wow
waaaww,wow
waaawwww,wow
waakaakaak,wkwk
waaw,wow
waduuuh,aduh
wagelaseh,wah gila sih
wagu,kaku
wagub,wakil gubernur
wagubku,wakil gubernurku
wagubnya,wakil gubernurnya
wahhh,wah
waji,wajik
wakaka,wkwk
wakakak,wkwk
wakakaka,wkwk
wakakakak,wkwk
wakakakaka,wkwk
wakakakakakak,wkwk
wakakkakkak,wkwk
wakaq,wkwk
waketum,wakil ketua umum
waktuny,waktunya
waktunyaaa,waktunya
wakwaww,wkwk
walaipun,walaupun
walaupon,walaupun
walikota,wali kota
walikotanya,wali kotanya
walisongo,wali songo
walkot,wali kota
walopun,walaupun
walupun,walaupun
wamil,wajib militer
wanita2,wanita wanita
wanitah,wanita
wanjerrr,anjir
wanjiir,anjir
waow,wow
wapres,wakil presiden
wapresnya,wakil presidennya
wapresnye,wakil presidennya
waqiâ,waqiah
waw,wow
waww,wow
wawwwww,wow
wayahe,waktunya
weddingparty,wedding party
weddingtradisional,wedding tradisional
weeeh,weh
wehh,wah
wek,wkwk
wekawekaweka,wkwk
wekekkeke,wkwk
wew,wow
wewww,wow
wheeewww,wow
wheeewww ,wow
when you got time please reply mine,kalau kamu sempat tolong balas pesan ku
wib,waktu indonesia bagian barat
widih,wow
widihh,weh
wihh,weh
wihhh,weh
wihhhhhh,weh
wiih,weh
wiiiihhhh,weh
wish,harapan
with,dengan
wjdjiqksks,wkwk
wk,wkwk
wkaakakak,wkwk
wkakak,wkwk
wkakakakaka,wkwk
wkakwk,wkwk
wkejwkkw,wkwk
wkk,wkwk
wkkw,wkwk
wkkwkk,wkwk
wkkwkw,wkwk
wkkwkwkw,wkwk
wkkwkwkwkw,wkwk
wkkww,wkwk
wklnya,wakil nya
wks,wkwk
wksk,wkwk
wkt,waktu
wkt',waktu
wktu,waktu
wktunya,waktunya
wkw,wkwk
wkwkk,wkwk
wkwkkw,wkwk
wkwkkwk,wkwk
wkwkkwkw,wkwk
wkwkkwkwk,wkwk
wkwkkwkwkw,wkwk
wkwkkwkwkwkwkq,wkwk
wkwks,wkwk
wkwkw,wkwk
wkwkwjjwjw,wkwk
wkwkwk,wkwk
wkwkwkakak,wkwk
wkwkwkk,wkwk
wkwkwkkw,wkwk
wkwkwkkwkw,wkwk
wkwkwkkwkwkwwk,wkwk
wkwkwkw,wkwk
wkwkwkwk,wkwk
wkwkwkwkk,wkwk
wkwkwkwkkw,wkwk
wkwkwkwkw,wkwk
wkwkwkwkwk,wkwk
wkwkwkwkwkk,wkwk
wkwkwkwkwkkw,wkwk
wkwkwkwkwkkwkwkw,wkwk
wkwkwkwkwkw,wkwk
wkwkwkwkwkwkk,wkwk
wkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw,wkwk
wkwkwkwkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwwkwkwkwkwkwkwk,wkwk
wkwkwkwwk,wkwk
wkwkwkwwkkwkwkwkwk,wkwk
wkwkwkwwkwk,wkwk
wkwkwlw,wkwk
wkwkwwk,wkwk
wkwwk,wkwk
wl,walau
wlau,walau
wlaupun,walaupun
wlawpun,walaupun
wlopun,walaupun
wlpn,walaupun
wlpun,walaupun
wlwpn,walaupun
wlwpun,walaupun
wn,warga negara
wna,warga negara asing
wni,warga negara indonesia
woah,wah
woee,woi
wonderfulindonesia,woderful indonesia
wooow,wow
wooowww,wow
woow,wow
worldcup2018,world cup 2018
wota2,wota wota
wouww,wow
wowo,cowok
woww,wow
wowww,wow
wowwww,wow
woyy,woi
wqwq,wkwk
wqwqwq,wkwk
wqwqwqwq,wkwk
wuah,wow
wuakkakaa,wkwk
wuih,wah
wusstt,wow
wwkkw,wkwk
wwkwkwkw,wkwk
wwnang,wewenang
wwsn,wkwk
y,ya
yaa,iya
yaaa,ya
yaaaa,ya
yaaaaa,iya
yaaaaaa,ya
yaaah,ya
yaaang,yang
yaaelaa,yaelah
yaah,ya
yaahh,ya
yaahhh,ya
yaak,ya
yaakk,ya
yaakkk,ya
yaallah,ya allah
yaallahh,ya allah
yaamfun,ya ampun
yaampun,ya ampun
yaampuuuunnnn,ya ampun
yaampuuuuuunnn,ya ampun
yaang,yang
yab,ya
yabg,yang
yach,ya
yachhh,ya
yað,ya
yaelahh,alah
yagimanasih,ya bagaimana sih
yagitu,ya begitu
yah,ya
yahbh,ya
yahh,ya
yahhh,yah
yai,ya iyalah
yaila,ya iyalah
yailaah,ya iyalah
yailah,ya iyalah
yaiyalah,ya iyalah
yak,ya
yakali,ya kali
yakiin,yakin
yakiinn,yakin
yakini,yaitu
yakinn,yakin
yakk,ya
yalord,ya tuhan
yampun,ya ampun
yanag,yang
yanga,ya tidak
yangg,yang
yangvm,yang
yant,yang
yaola,ya tidak
yaolo,ya allah
yaoloh,ya allah
yaolohh,ya allah
yaopo,ya apa
yaow,ya
yapp,ya
yaqin,yakin
yas,ya
yasalam,ya allah
yassalam,ya allah
yauda,ya sudah
yaudah,ya sudah
yaudahlah,ya sudahlah
yaudh,ya sudah
yawdah,ya sudah
yawlaaaa,ya allah
yawlah,ya allah
yawloh,ya allah
ybs,yang bersangkutan
ye,ya
yeah,ya
yep,ya
yg,yang
ygdisebarkan,yang di sebarkan
yguda,yang sudah
yh,ya
yha,yah
yhaaa,ya
ykwim,you know what i mean
yng,yang
yogya,yogyakarta
yooow,ya
you,kamu
yowis,ya sudah
yra,ya rabbal alamin
ysh,ya
yth,yang terhormat
yu,kamu
yucub,youtube
yudhlh,ya sudahlah
yuhuuu,yuhu
yuppss,ya
yutub,youtube
yutuber,youtuber
yutup,youtube
yuukkk,yuk
yuups,ya
ywdh,ya sudah
zmn,zaman
zonk,kosong
