singkat,hasil
idak,tidak
idung,hidung
idup,hidup
ig,instagram
ignore,mengabaikan
ignya,instagram nya
ijo,hijau
iki,ini
ilang,hilang
ily,saya cinta kamu 
imbasnya,imbas nya
indakk,tidak
inget,ingat
ingetin,ingat kan
inisahurtiketcomharike,ini sahur tiketcom hari ke
iniserius,ini serius
inong,ibu
insaf,tobat
instalaai,instalansi
introprksi,mengoreksi diri
inysllh,insya allah
isa,bisa
isalam,islam
islamselamatkannegeri,islam selamatkan negeri
istrinya,istri nya
iyaa,iya
iyaaa,iya
iyah,iya
iye,iya
jaman,zaman
jamberapa,jam berapa
jan,jangan
jancook,geram
jancoook,geram
jancuk,geram
janganlupabahagia,jangan lupa bahagia
janganpilihpartaioposan,jangan pilih partai oposan
jatoh,jatuh
jatohnya,jatuh nya
jauuh,jauh
jauuhh,jauh
jauuuuh,jauh
jbtn,jabatan
jd,jadi
jdi,jadi
je,saja
jealous,cemburu
jg,juga
jga,juga
jgkel,jengkel
jgn,jangan
jgn ,jangan
jirr,anjir
jjur,jujur
jkt,jakarta
jkw,jokowi
jln,jalan
jls,jelas
jman,zaman
jmpt,jemput
jngan,jangan
jngn,jangan
jobdes,job description
jogja,yoyakarta
jongos,pelayan
jotosin,pukul
jt,juta
jugaaa,juga
jun,juni
jutek,galak
jwab,jawab
jwabnya,jawab nya
jwb,jawab
jwban,jawaban
jwbannya,jawaban nya
kaaaann,kan
kaaan,kan
kaga,tidak
kagak,tidak
kaka,kakak
kalaupun,kalau pun
kalee,kali
kalo,kalau
kalyan,kalian
kambek,comeback
kamun,kamu
kamuu,kamu
kamuuu,kamu
kamuuuuuu,kamu
kangentingting,kangen ting ting
kangenya,kangen nya
kann,kan
kapan2,kapan kapan
kapanliburanlagi,kapan liburan lagi
kapanpun,kapan pun
kapokgabisa,kapok tidak bisa
karenasampahjakartabedasampahjerman,karena sampah jakarta beda sampah jerman
karna,karena
'karna,karena
karywan,karyawan
kasian,kasihan
kasieun,kasihan
kasihsayang,kasih sayang
katakata,kata kata
katanya,kata nya
kaya,seperti
kayak,seperti
kayaknya,sepertinya
kaykanya,sepertinya
kcelakan,kecelakaan
kdg,kadang
kebelulan,kebetulan
kecendrungan,kecenderungan
kedua,ke dua
kegovlokan,kegoblokan
kek,kayak
kekgitu,kayak gitu
keknyaa,seperti nya
kelai,kelahi
kelaperan,kelaparan
kelar,selesai
kelen,kalian
keles,kali
kelindes,di lindas
kelon,perhatian
kemaren,kemarin
kemna,kemana
kemnpun,kemana pun
kenceng,kuat
kend,kendaraan
keok,kalah
keookkk,kalah
kepepettttt,mendesak
kepingin,ingin
kepo,penasaran
kerasa,terasa
kerjanya,kerja nya
kerjateruss,kerja terus
kerruh,keruh
kesedihannha,kesedihannya
keseel,kesal
kesel,kesal
keselnya,kesal nya
ketauan,ketahuan
ketemulah,ketemu lah
ketolong,ke tolong
ketrima,diterima
ketuker,ke tukar
kewong,kawin
kga,tidak
kgak,tidak
kgk,tidak
kgn,kangen
khan,kan
kk,kakak
kl,kalau
klau,kalau
klean,kalian
klen,kalian
klian,kalian
klmpok,kelompok
kln,kalian
klo,kalau
klopun,kalau pun
kls,kelas
klu,kalau
kluar,keluar
klw,kalau
km,kamu
kmarin,kemarin
kmna,kemana
kmpret,kampret
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
kmu,kamu
knl,kenal
knp,kenapa
knpa,kenapa
ko,kok
koalisipun,koalisi pun
konconya,konco nya
konsekwensi,konsekuensi
koplaknya,lucu nya
koq,kok
kore,korea
kosyong,kosong
kpd,kepada
kpn,kapan
kppn,kapan
kreasitiadahenti,kreasi tiada henti
krg,kurang
krj,kerja
krja,kerja
krn,karena
krna,karena
krts,kertas
krungu,dengar
ksel,kesal
ksian,kasihan
ktm,ketemu
ktmu,ketemu
ktrusan,keterusan
ku,saya
kucintai,aku cintai
kudu,semestinya
kujawab,aku jawab
kukena,aku kena
kulyah,kuliah
kupaksa,aku paksa
kurg,kurang
kusendri,aku sendiri
kuy,yuk
kwan,kawan
kwkwkw,wkwk
kwkwkwkkw,wkwk
kwkwkwkw,wkwk
kwkwkwkwk,wkwk
kwkwkwkwkw,wkwk
kwkwkwkww,wkwk
kwwkwkwkwkwkwkkw,wkwk
kwwkwkwkwkwkwkwkkw,wkwk
ky,seperti
kygt,seperti gitu
kyk,seperti
kzl,kesal
ladenin,meladeni
laff,cinta
lagiiihhh,lagi
lagipula,lagi pula
lahh,lah
lahirkan,melahirkan
lamalama,lama lama
laper,lapar
lasti,pasti
lawan,musuh
lbh,lebih
lekong,banci
lepeh,muntah
leyeh,berbaring
lg,lagi
lgi,lagi
lgsg,langsung
lha,lah
lhahhh,lah
lho,loh
lhooo,loh
liat,lihat
lipattttttttttttttttttttttttt,lipat
lipet,lipat
lma,lama
lncr,lancar
lngsng,langsung
lo,kamu
loe,lo
lohh,loh
lol,wkwk
looh,loh
loooo,loh
love,cinta
low,kalau
lptop,laptop
lsg,langsung
lu,kamu
luh,kamu
luu,kamu
luv,cinta
luvsss,love
lw,kalau
lwat,lewat
lyfe,kehidupan
ma,sama
maafefekstress,maaf efek stress
maap,maaf
mabok,mabuk
macem,macam
maen,main
mager,malas gerak
mahu,mau
majlis,majelis
makasi,terima kasih
make,pakai
maksd,maksud
maksi,terima kasih
malah,bahkan
malem,malam
malemnya,malam nya
males,malas
mals,malas
mam,makan
mamah,mama
mamak,ibu
mamake,ibu saya
manaaaaaaa,mana
mangat,semangat
manjaahh,manja
mantai,ke pantai
mantapp,mantap
manusai,manusia
manusyaaa,manusia
mao,mau
marahnya,marah nya
masaaaaaa,masa
masakecilkuasik,masa kecil aku asik
masalahku,masalah aku
masalalu,masa lalu
mase,mas
masi,masih
masihtentangjuni,masih tentang juni
matalah,mata lah
matap,mantap
maunya,mau nya
maw,mau
mayan,lumayan
mba,mbak
mbaq,mbak
mbokya,harus nya
mboten,tidak
mbungkam,menutup mulut
mdpt,mendapat
mdptkan,mendapatkan
me,aku
medsos,sosial media
meh,mau
mekkel,tertawa
mele,mulu
meleeekk,melek
memank,memang
membenco,membenci
memencet,menekan
mencapei,mencapai
mendem,mendam
mendingan,lebih baik
menel,genit
menjudge,menghakimi
mentang2,hanya karena 
mentrri,mentri
menurutguesih,menurut gue sih
menurutkusih,menurut aku sih
menye,manja
mereke,mereka
merhatiin,memperhatikan
meyakinkan,menyakinkan
mga,semoga
mgkn,mungkin
mgomel,mengomel
mhn,mohon
minder,kurang percaya diri
mingkem,diam
minjem,minjam
misqueen,miskin
mjlnkn,menjalankan
mka a,makanya
mkn,makan
mlakukn,melakukan
mlam,malam
mlangkah,melangkah
mlipir,melipir
mlkukan,melakukan
mmbalas,membalas
mmg,memang
mmmmmoh,tidak
mmng,memang
mn,mana
mndg,mending
mnerus,menerus
mngatakn,mengatakan
mngcap,memberi cap
mnlpon,menelpon
mnritas,minoritas
mnta,minta
mnum,minum
mnyambut,menyambut
mo,mau
moal,tidak
moga,semoga
mohonantri,mohon antri
mommy,mama
money,uang
monggo,silahkan
mpe,sampai
mrasa,merasa
mreka,mereka
mrk,mereka
mrtabak,martabak
msh,masih
msk,masuk
mski,meski
mudahn,mudahan
mukalo,muka mu
mules,mulas
mulu,selalu
mumet,pusing
muncul,keluar
musti,mesti
muter,mutar
mw,mau
mwu,mau
n,dan
naaaah,nah
naaahhhh,nah
naek,naik
naha,kenapa
nampak,terlihat
nanggepin,menanggapi
nanjir,anjir
nanjirr,anjir
nanya,bertanya
nanya ,tanya
napa,kenapa
ncebong,cebong
ncebong2,cebong
nda,tidak
ndak,tidak
ndakk,tidak
ndax,tidak
ndengan,dengan
ndengar,dengar
ndgn,dengan
ndiri,sendiri
ndk,tidak
neealahh,yaelah
negatifthinking,berpikir buruk
neklwkwowkwkwkk,wkwk
nelpn,menelpon
nengok,melihat
nerimo,nerima
nga,tidak
ngabarin,kabarin 
ngaca,berkaca
ngadoh,menjauh
ngak,tidak
ngakak,haha
ngakakakakaka,wkwk
ngakuin,mengaku
ngambek,marah 
ngambil,ambil
ngangep,dianggap
nganter,mengantar
nganterin,mengantarkan
ngantor,kantor
ngaruh,pengaruh
ngasih,memberi
ngatain,memaki
ngebahagiain,bahagia
ngebahas,membahas
ngebash,bully
ngebuktiin,membuktikan
ngechat,menchat
ngedeteksi,medeteksi
ngeharep,harap
ngehilangin,hilang
ngehindarin,menghindari
ngejaga,jaga
ngejalanin,menjalani
ngejar,kejar
ngejatuhin,menjatuhkan
ngejelasin,menjelaskan
ngejer,mengejar
ngejual,menjual
ngeladeni,meladeni
ngeladenin,meladeni
ngelahirin,melahirkan
ngelawaq,bercanda
ngelepas,melepas
ngeliat,melihat
ngeliatnya,melihatnya
ngelindes,melindasi
ngeluh,mengeluh
ngembaliin,mengembalikan
ngemis,mengemis
ngepas,cukup
ngeper,takut
ngerasa,merasa
ngeri,takut
ngeriiiih,takut
ngerjain,mengerjakan
ngerti,mengerti
ngerusak,merusak
ngetssss,banget
ngfolow,memfollow
ngg,tidak
ngga,tidak
nggada,tidak ada
nggak,tidak
nggakk,tidak
ngggk,tidak
nggk,tidak 
nghina,menghina
ngilaa,gila
ngilang,menghilang
ngilee,gila
ngiliran,giliran
ngingetin,mengingatkan
ngintipin,melihat
ngisi,mengisi
ngk,tidak
ngkgkgk,wkwk
ngladeni,meladeni
ngliat,melihat
ngmg,bicara
ngobrol,berbincang
ngono,begitu
ngpain,ngapain
ngpp,tidak apa apa
ngrasain,merasa
ngrengek,meminta sesuatu dengan mendesak sambil menangis
ngubah,mengubah
ngulang,mengulang
ngurusin,mengurus
ngutang,berhutang
nheh,weh
ni,ini
nich,ini
nihhh,nih
njay,anjir
njayyy,anjir
njerr,anjir
njiirr,anjir
njiirr,anjir
njing,anjing
njir,anjir
njirr,anjir
njirrr,anjir
njrittt,anjir
nkikikikiki,wkwk
nlpon,menelpon
nmanya,namanya
nnga,tidak
nnt,nanti
nnti,nanti
nntn,menonton
nnton,menonton
no,tidak
nolak,menolak
nonjok,tinju
nontonya,nonton nya
noopst,tidak
nop,tidak
nope,tidak
nothing,tidak
now,sekarang
ntan,mantan
ntar,nanti
ntdk,tidak
nti,nanti
ntidak,tidak
ntn,nonton
ntr,nanti
ntu,itu
ntydack,tidak
nwaktu,waktu
nwaktulah,waktulah
nwalau,walau
nwallahu,wallahu
nwkwk,wkwk
nwkwkwk,wkwk
nwkwkwkwk,wkwk
nwoojinprk,woojin park
ny,nya
nyaamp00n,ya ampun
nyakitin,menyakiti 
nyama ,sama
nyamber,menyambar
nyampe,sampai
nyampein,menyampaikan
nyampur,campur
nyang,yang
nyantol,nyangkut
nyari,cari
nyasudah,ya sudah
nyatain,mengatakan
nye,nya
nyebayangin,membayangkan 
nyebeli,menyebalkan 
nyebelin,menyebalkan 
nyeletuk,menyela
nyembunyiin,menyembunyikan
nyenengin,menyenangkan
nyengir,senyum
nyeremin,menyeramkan 
nyeri,sakit
nyeritain,menceritakan
nyesek,sesak 
nyesel,menyesal 
nyet,monyet
nyetarain,menyetarakan
nyg,yang
nyilet,menyakiti
nyimpeninnya,menyimpan
nyinyirin,nyinyir
nyobain,mencoba
nyokap,ibu
nyolot,menyolot
nyou,you
nyuruh,menyuruh
oalaaaa,walah
oalah,walah
oalahh,walah
oeang,orang
ogah,tidak mau
ogahhan,tidak mau
ohh,oh
oldmoneygakngerasain,old money gak ngerasain
olh,oleh
omg,oh my god
onoh,itu
oon,bodoh
or,atau
ora,tidak
orang2,orang orang
oranglain,orang lain
org,orang
orglain,orang lain
orgnya,orang nya
ornah,pernah
ortu,orang tua
ortunya,orang tua dia
ott,operasi tangkap tangan
owalaah,walah
owalah,walah
oyeeee,oke
paakkk,pak
pakboss,pak boss
pake,pakai
pala,kepala
palagi,apalagi
palanya,kepala nya
pantangmunsur,pantang mundur
pantes,pantas
panutanqu,panutan ku
pasr,pasar
pcar,pacar
pd,pada
pda,pada
pdhal,padahal
pdhl,padahal
pdnya,padanya
pecun,pecundang
pedes,pedas
pemirsyahhhh,permisa
pen,ingin
pendem,pendam
penerusbangsa,penerus bangsa
pengem,ingin
pengen,ingin
penggantinyakah,pengganti nya kah
pengin,ingin
pengngangguran,pengganguran
pengsan,pingsan
penugasan,tugas
penyembul,penyembuh
pernh,pernah
persijaselamanya,persija selamanya
pertam,pertama
pesen,pesan
pgen,ingin
pgi,pagi
pgn,ingin
piee,bagaimana
pingin,ingin
pinginnya,ingin nya
pinjem,pinjam
pinter,pintar
pisan,sangat
piye,bagaimana
pjbt,pejabat
pkir,pikir
playlistnua,playlist nya
pleaselah,tolong lah
plg,pulang
pmbhasan,pembahasan
pngen,ingin
pngn,ingin
pny,punya
pokonya,pokok nya
polahmu,tingkah mu
posttingan,postingan
powerrmarah,power marah
ppdb,penerimaan peserta didik baru
prbuatan,perbuatan
prgi,pergi
prjalanan,perjalanan
prjuangannya,perjuangan nya
problem,masalah
psen,pesan
pst,pasti
psti,pasti
puan,perempuan
puasaa,puasa
pukpukk,kasihan
pukullah,pukul lah
puny,punya
punye,punya
pusingku,pusing aku
puter,putar
puyeng,pusing
pwease,please
q,saya
qeras,keras
qkwjw,wkwk
qkwk,wkwk
qm,kamu
qu,aku
quat,kuat
quattttt,kuat
quda,kuda
quuu,aku
raisin,tidak malu
raiso,tidak bisa
rame,ramai
rang,orang
rangorang,orang orang
rapopo,tidak apa apa
rasakne,rasanya
rasanya,rasa nya
rasax,rasa nya
rausahmundurrausahwedi,tidak perlu mundur tidak perlu takut
rauwisuwis,tidak selesai selesai
recehkantwitter,receh kan twitter
regist,daftar
rencna,rencana
ribet,kalut
rikues,meminta
rmah,rumah
rmh,rumah
rodo,agak
rspn,respon
rspnnya,responnya
rusaklah,rusak lah
sabar2,sabar sabar
sahurrrr,sahur
saikho,gila
saingannya,saingan nya
sakid,sakit
salty ,nyinyir
salut,bangga
samaa,sama
samanye,namanya
samasekali,sama sekali
samp,sampai
sampe,sampai
sampe2,sampai
samsek,sama sekali
sangking,saking
santunnya,santun nya
sapa,siapa
savenkri,save nkri
saveviavallen,save via valen
sayanganak,sayang anak
sayanggg,sayang
sayanggggg,sayang
sayangkuh,sayang ku
sayangnya,sayang nya 
sayapun,saya pun
sbab,sebab
sbagai,sebagai
sbagainya,sebagainya
sbb,sebab
sbbnya,sebabnya
sbg,sebagai
sbgai,sebagai
sblm,sebelum
sblmnya,sebelum nya
sbnre,sebenarnya
sbuah,sebuha
scr,secara
screentimenya,waktu menontonnya
sdah,sudah
sdg,sedang
sdh,sudah
sdhkah,sudah kah
sdr,saudara
sdrhana,sederhana
sebel,sebal
sebelll,kesal
sebelom,sebelum
sebelumnnya,sebelum nya
sebenernya,sebenarnya
sedeket,sangat dekat
sedihrasanya,sedih rasanya
sediiiihhhh,sedih
sedng,sedang
sedooooottt,sedot
